TYPE	CODE	DESC
RX	26332351610	nan
DX	D124	BENIGN NEOPLASM OF DESCENDING COLON
RX	00060409301	nan
PR	1CHPS	nan
DX	S82875G	NONDISPLACED PILON FRACTURE OF LEFT TIBIA, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH DELAYED HEALING
RX	50924001901	ACCU-CHEK
PR	J0795	INJECTION, CORTICORELIN OVINE TRIFLUTATE, 1 MCG
DX	S43316A	DISLOCATION OF UNSPECIFIED SCAPULA, INITIAL ENCOUNTER
RX	00064119039	nan
DX	S60471A	OTHER SUPERFICIAL BITE OF LEFT INDEX FINGER, INITIAL ENCOUNTER
DX	2932	nan
RX	58160081004	nan
PR	0SH734Z	INSERTION OF INTERNAL FIXATION DEVICE INTO RIGHT SACROILIAC JOINT, PERCUTANEOUS APPROACH
DX	7241P	nan
PR	0274	nan
RX	00378054377	QUINAPRIL-HYDROCHLOROTHIAZIDE
DX	E64	SEQUELAE OF MALNUTRITION AND OTHER NUTRITIONAL DEFICIENCIES
DX	C8400	MYCOSIS FUNGOIDES, UNSPECIFIED SITE
RX	63323010801	MAGNESIUM SULFATE-D5W
DX	T8851XD	HYPOTHERMIA FOLLOWING ANESTHESIA, SUBSEQUENT ENCOUNTER
DX	E9259	ACCIDENT CAUSED BY UNSPECIFIED ELECTRIC CURRENT
DX	M12311	PALINDROMIC RHEUMATISM, RIGHT SHOULDER
DX	9154	FINGER, INSECT BITE, NONVENOMOUS, WITHOUT MENTION OF INFECTION
DX	T2024XD	BURN OF SECOND DEGREE OF NOSE (SEPTUM), SUBSEQUENT ENCOUNTER
DX	S72133K	DISPLACED APOPHYSEAL FRACTURE OF UNSPECIFIED FEMUR, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH NONUNION
DX	1027	OTHER MANIFESTATIONS DUE TO YAWS
DX	M87161	OSTEONECROSIS DUE TO DRUGS, RIGHT TIBIA
RX	11793088001	THERACYS
DX	S52181S	OTHER FRACTURE OF UPPER END OF RIGHT RADIUS, SEQUELA
RX	68382005410	WARFARIN SODIUM
PR	01742	ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES OF THE ELBOW; OSTEOTOMY OF HUMERUS
PR	64.49	nan
DX	J025	nan
PR	0DUW0KZ	SUPPLEMENT PERITONEUM WITH NONAUTOLOGOUS TISSUE SUBSTITUTE, OPEN APPROACH
DX	E8194	MOTOR VEHICLE TRAFFIC ACCIDENT OF UNSPECIFIED NATURE INJURING OCCUPANT OF STREETCAR
DX	M34024	nan
DX	M84379A	STRESS FRACTURE, UNSPECIFIED TOE(S), INITIAL ENCOUNTER FOR FRACTURE
DX	S52042B	DISPLACED FRACTURE OF CORONOID PROCESS OF LEFT ULNA, INITIAL ENCOUNTER FOR OPEN FRACTURE TYPE I OR II
RX	00069303120	DOXORUBICIN HCL
PR	68540	EXCISION OF LACRIMAL GLAND TUMOR; FRONTAL APPROACH
PR	L8499	UNLISTED PROCEDURE FOR MISCELLANEOUS PROSTHETIC SERVICES
RX	60505076905	nan
DX	L983	EOSINOPHILIC CELLULITIS [WELLS]
DX	T783XXS	ANGIONEUROTIC EDEMA, SEQUELA
DX	S85501D	UNSPECIFIED INJURY OF POPLITEAL VEIN, RIGHT LEG, SUBSEQUENT ENCOUNTER
PR	9132	CULTURE OF SPECIMEN FROM BLADDER, URETHRA, PROSTATE, SEMINAL VESICLE, PERIVESICAL TISSUE, AND OF URINE AND SEMEN
RX	00074904201	BUPIVACAINE HCL W/EPINEPHRINE
DX	S0921XS	TRAUMATIC RUPTURE OF RIGHT EAR DRUM, SEQUELA
DX	2349	CARCINOMA IN SITU, SITE UNSPECIFIED
DX	M1719	nan
DX	S9001XS	CONTUSION OF RIGHT ANKLE, SEQUELA
DX	4102	ACUTE MYOCARDIAL INFARCTION OF INFEROLATERAL WALL
DX	T45612A	POISONING BY THROMBOLYTIC DRUG, INTENTIONAL SELF-HARM, INITIAL ENCOUNTER
PR	A4365	ADHESIVE REMOVER WIPES, ANY TYPE, PER 50
DX	O368222	FETAL ANEMIA AND THROMBOCYTOPENIA, SECOND TRIMESTER, FETUS 2
PR	99.214	nan
DX	042	HUMAN IMMUNODEFICIENCY VIRUS [HIV]
DX	S96011S	STRAIN OF MUSCLE AND TENDON OF LONG FLEXOR MUSCLE OF TOE AT ANKLE AND FOOT LEVEL, RIGHT FOOT, SEQUELA
PR	0S9C30Z	DRAINAGE OF RIGHT KNEE JOINT WITH DRAINAGE DEVICE, PERCUTANEOUS APPROACH
PR	0WPJ40Z	REMOVAL OF DRAINAGE DEVICE FROM PELVIC CAVITY, PERCUTANEOUS ENDOSCOPIC APPROACH
PR	35518	BYPASS GRAFT, WITH VEIN; AXILLARY-AXILLARY
DX	S82262C	DISPLACED SEGMENTAL FRACTURE OF SHAFT OF LEFT TIBIA, INITIAL ENCOUNTER FOR OPEN FRACTURE TYPE IIIA, IIIB, OR IIIC
DX	S82102M	UNSPECIFIED FRACTURE OF UPPER END OF LEFT TIBIA, SUBSEQUENT ENCOUNTER FOR OPEN FRACTURE TYPE I OR II WITH NONUNION
PR	88187	FLOW CYTOMETRY, INTERPRETATION; 2 TO 8 MARKERS
RX	58468010001	CLOLAR
DX	Z4803	ENCOUNTER FOR CHANGE OR REMOVAL OF DRAINS
DX	4881	INFLUENZA DUE TO IDENTIFIED NOVEL H1N1 INFLUENZA VIRUS
PR	047J3Z1	DILATION OF LEFT EXTERNAL ILIAC ARTERY USING DRUG-COATED BALLOON, PERCUTANEOUS APPROACH
DX	20929	MALIGNANT CARCINOID TUMOR OF OTHER SITES
RX	49281052715	nan
DX	C7A021	MALIGNANT CARCINOID TUMOR OF THE CECUM
DX	S0281XS	FRACTURE OF OTHER SPECIFIED SKULL AND FACIAL BONES, RIGHT SIDE, SEQUELA
PR	4AFKT	nan
DX	33081	nan
RX	00409258705	MIDAZOLAM HCL
DX	F1821	INHALANT DEPENDENCE, IN REMISSION
RX	00955172510	OXALIPLATIN
RX	00338049906	PROSOL
DX	H8012	OTOSCLEROSIS INVOLVING OVAL WINDOW, OBLITERATIVE, LEFT EAR
RX	68258890350	nan
PR	64898	NERVE GRAFT (INCLUDES OBTAINING GRAFT), MULTIPLE STRANDS (CABLE), ARM OR LEG; MORE THAN 4 CM LENGTH
DX	S32391D	OTHER FRACTURE OF RIGHT ILIUM, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING
DX	S62664D	NONDISPLACED FRACTURE OF DISTAL PHALANX OF RIGHT RING FINGER, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING
DX	J9312	SECONDARY SPONTANEOUS PNEUMOTHORAX
DX	77391	nan
DX	F3171	BIPOLAR DISORDER, IN PARTIAL REMISSION, MOST RECENT EPISODE HYPOMANIC
DX	K904	OTHER MALABSORPTION DUE TO INTOLERANCE
DX	A5430	GONOCOCCAL INFECTION OF EYE, UNSPECIFIED
DX	Y92124	GARAGE OF NURSING HOME AS THE PLACE OF OCCURRENCE OF THE EXTERNAL CAUSE
DX	Z593	PROBLEMS RELATED TO LIVING IN RESIDENTIAL INSTITUTION
DX	S52601M	UNSPECIFIED FRACTURE OF LOWER END OF RIGHT ULNA, SUBSEQUENT ENCOUNTER FOR OPEN FRACTURE TYPE I OR II WITH NONUNION
DX	T65293S	TOXIC EFFECT OF OTHER TOBACCO AND NICOTINE, ASSAULT, SEQUELA
DX	1890	MALIGNANT NEOPLASM OF KIDNEY, EXCEPT PELVIS
DX	S90512S	ABRASION, LEFT ANKLE, SEQUELA
DX	O0932	SUPERVISION OF PREGNANCY WITH INSUFFICIENT ANTENATAL CARE, SECOND TRIMESTER
RX	58160082643	HAVRIX
DX	S61551D	OPEN BITE OF RIGHT WRIST, SUBSEQUENT ENCOUNTER
DX	S60948D	UNSPECIFIED SUPERFICIAL INJURY OF OTHER FINGER, SUBSEQUENT ENCOUNTER
